qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,Contrabassoon,C Horn 1,C Horn 2,E Horn 3,E Horn 4,C Trumpet 1,C Trumpet 2,Trombone 1,Trombone 2,Trombone 3,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
85.25,72.0423,22,3.25,C6,r,r,r,C5,r,C4,r,E-2,r,r,r,r,r,r,r,r,r,r,E-4,E-4,E-4,E-3,E-2
85.375,72.1479,22,3.375,C6,r,r,r,C5,r,C4,r,E-2,r,r,r,r,r,r,r,r,r,r,F4,F4,E-4,E-3,E-2
85.5,72.2535,22,3.5,F6,r,r,r,F5,r,F4,r,E-2,r,r,r,r,r,r,r,r,r,r,G4,G4,E-4,E-3,E-2
85.625,72.3592,22,3.625,F6,r,r,r,F5,r,F4,r,D2,r,r,r,r,r,r,r,r,r,r,G4,G4,D4,D3,D2
85.75,72.4648,22,3.75,F6,r,r,r,F5,r,F4,r,E-2,r,r,r,r,r,r,r,r,r,r,G4,G4,E-4,E-3,E-2
85.875,72.5704,22,3.875,F6,r,r,r,F5,r,F4,r,F2,r,r,r,r,r,r,r,r,r,r,G4,G4,F4,F3,F2
86.0,72.6761,22,4.0,F6,r,r,r,F5,r,F4,r,G2,r,r,r,r,r,r,r,r,r,r,G4,G4,G4,G3,G2
86.125,72.7817,22,4.125,F6,r,r,r,F5,r,F4,r,G2,r,r,r,r,r,r,r,r,r,r,F4,F4,G4,G3,G2
86.25,72.8873,22,4.25,E-6,r,r,r,E-5,r,E-4,r,G2,r,r,r,r,r,r,r,r,r,r,G4,G4,G4,G3,G2
86.375,72.993,22,4.375,E-6,r,r,r,E-5,r,E-4,r,G2,r,r,r,r,r,r,r,r,r,r,G#4,G#4,G4,G3,G2
86.5,73.0986,22,4.5,D6,r,r,r,D5,r,D4,r,G2,r,r,r,r,r,r,r,r,r,r,B-4,B-4,G4,G3,G2
86.625,73.2042,22,4.625,D6,r,r,r,D5,r,D4,r,F2,r,r,r,r,r,r,r,r,r,r,B-4,B-4,F4,F3,F2
86.75,73.3099,22,4.75,D6,r,r,r,D5,r,D4,r,G2,r,r,r,r,r,r,r,r,r,r,B-4,B-4,G4,G3,G2
86.875,73.4155,22,4.875,D6,r,r,r,D5,r,D4,r,G#2,r,r,r,r,r,r,r,r,r,r,B-4,B-4,G#4,G#3,G#2
87.0,73.5211,23,1.0,D6,r,r,r,D5,r,D4,r,B-2,r,r,r,r,r,r,r,r,r,r,B-4,B-4,G4,B-3,B-2
