qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,Bb basso Horn 1,Bb basso Horn 2,Violin 1,Violin 2,Viola,Violoncello solo,Violoncello,Contrabass
57.0,45.6,10,3.0,r,r,F5,F5,r,F4,r,F3,F3,F2,C6,D4,D4,B-2,r,r
57.25,45.8,10,3.1667,r,r,F5,F5,r,F4,r,F3,F3,F2,C6,B-3,B-3,D3,r,r
57.5,46.0,10,3.3333,r,r,F5,F5,r,F4,r,F3,F3,F2,C6,C4,C4,A2,r,r
57.75,46.2,10,3.5,r,r,F5,F5,r,F4,r,F3,F3,F2,C6,A3,A3,C3,r,r
58.0,46.4,10,3.6667,r,r,F5,F5,r,F4,r,F3,F3,F2,C6,C4,C4,A2,r,r
58.25,46.6,10,3.8333,r,r,F5,F5,r,F4,r,F3,F3,F2,C6,A3,A3,C3,r,r
58.5,46.8,10,4.0,r,r,F5,F5,r,F4,r,F3,F3,F2,C6,B-3,B-3,G2,r,r
58.75,47.0,10,4.1667,r,r,F5,F5,r,F4,r,F3,F3,F2,C6,G3,G3,B-2,r,r
59.0,47.2,10,4.3333,r,r,F5,F5,C5,F4,C4,F3,F3,F2,C6,C4,C4,F2,F3,F2
59.25,47.4,10,4.5,r,r,F5,F5,C5,F4,C4,F3,F3,F2,C6,A3,A3,C3,F3,F2
59.5,47.6,10,4.6667,r,r,F5,F5,D5,F4,D4,F3,F3,F2,C6,C4,C4,F2,E-3,E-2
59.75,47.8,10,4.8333,r,r,F5,F5,E-5,F4,E-4,F3,F3,F2,B5,A3,A3,C3,E-3,E-2
59.875,47.9,10,4.9167,r,r,F5,F5,E-5,F4,E-4,F3,F3,F2,C6,A3,A3,C3,E-3,E-2
60.0,48.0,11,1.0,D6,B-5,B-5,F5,F5,B-4,F4,B-3,B-3,B-2,D6,D4,B-3,D3,D3,D2
60.25,48.2,11,1.1667,D6,B-5,B-5,F5,F5,B-4,F4,B-3,B-3,B-2,D6,B-3,F3,B-2,D3,D2
60.5,48.4,11,1.3333,D6,B-5,B-5,F5,F5,B-4,F4,B-3,B-3,B-2,D6,D4,B-3,D3,D3,D2
60.75,48.6,11,1.5,D6,B-5,B-5,F5,F5,B-4,F4,B-3,B-3,B-2,D6,B-3,F3,B-2,D3,D2
61.0,48.8,11,1.6667,r,r,B-5,F5,F5,B-4,F4,B-3,B-3,B-2,r,D4,B-3,D3,r,r
61.25,49.0,11,1.8333,r,r,B-5,F5,F5,B-4,F4,B-3,B-3,B-2,r,B-3,F3,B-2,r,r
61.5,49.2,11,2.0,r,r,B-5,F5,F5,B-4,F4,B-3,B-3,B-2,B-5,D4,B-3,D3,r,r
61.75,49.4,11,2.1667,r,r,B-5,F5,F5,B-4,F4,B-3,B-3,B-2,B-5,B-3,F3,B-2,r,r
62.0,49.6,11,2.3333,r,r,B-5,F5,E-5,B-4,E-4,B-3,B-3,B-2,B-5,D4,B-3,D3,r,r
62.25,49.8,11,2.5,r,r,B-5,F5,E-5,B-4,E-4,B-3,B-3,B-2,B-5,B-3,F3,B-2,r,r
62.5,50.0,11,2.6667,r,r,B-5,F5,D5,B-4,D4,B-3,B-3,B-2,B-5,D4,B-3,D3,r,r
